feature,importance,importance_percent,display_name
id,0.2880870086398982,28.808700863989824,Common-root identifier (id)
rootd,0.26077860386849044,26.077860386849043,Root code (rootd)
sub_id,0.16543729492324524,16.543729492324523,Paradigm identifier (sub_id)
tsch_class,0.0819643286680425,8.19643286680425,Tschenkeli class
preverb,0.05001391456232238,5.001391456232239,Preverb
sf2,0.04451877984281401,4.451877984281401,Stem formant
formd,0.03052415920681066,3.052415920681066,Inflected-form code (formd)
morph_type,0.02320940179441949,2.320940179441949,Morphology type
endingd,0.01594499415326744,1.594499415326744,Ending code (endingd)
pre2d,0.015757653266168216,1.5757653266168217,Preradical code (pre2d)
tense,0.015252566658118683,1.5252566658118683,Tense
caus_sf,0.004203424894180857,0.42034248941808566,Causative stem formant
person,0.0027179086841702268,0.27179086841702266,Person
number,0.001589960838051688,0.1589960838051688,Number
